feature	importance
SSO:000004100__LL-diaminopimelate aminotransferase (EC 2.6.1.83)	0.018066290323950476
SSO:000003439__Histidine ammonia-lyase (EC 4.3.1.3)	0.012971017449762133
SSO:000008881__Urocanate hydratase (EC 4.2.1.49)	0.012151621566845742
SSO:000003696__Imidazolonepropionase (EC 3.5.2.7)	0.011286793252432469
SSO:000017850__HlyD family secretion protein	0.0112476744736006
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.010933199575051051
SSO:000007111__Ribose 5-phosphate isomerase B (EC 5.3.1.6)	0.009377698025891489
SSO:000004938__Molybdenum cofactor guanylyltransferase (EC 2.7.7.77)	0.00835011676723415
SSO:000002027__D-glycero-beta-D-manno-heptose 7-phosphate kinase	0.007903540055293576
SSO:000004091__Kynureninase (EC 3.7.1.3)	0.007635389338262921
SSO:000010953__BCCT family transporter	0.0073776531564003645
SSO:000021529__Phage portal protein	0.0067196866719957445
SSO:000030016__glutaredoxin family protein	0.006375446839275551
SSO:000008066__Thymidine phosphorylase (EC 2.4.2.4)	0.006374159489657165
SSO:000021874__Polyphosphate kinase 2 (EC 2.7.4.1)	0.006213442175016545
SSO:000042222__Arginyltransferase( EC:2.3.2.8 )	0.006196435367556238
SSO:000003108__Gluconokinase (EC 2.7.1.12)	0.005974366866365283
SSO:000019998__Molybdenum ABC transporter ATP-binding protein	0.005754613110021036
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.005526065696629238
SSO:000022976__PspA/IM30 family protein	0.00535300400874009
