feature	importance
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.12015259199150427
SSO:000005114__N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	0.05612669764654971
SSO:000003277__Glycine oxidase ThiO (EC 1.4.3.19)	0.05304383984747689
SSO:000007801__Sulfatase (EC 3.1.6.-)	0.0415079884292471
SSO:000008961__Xanthine phosphoribosyltransferase (EC 2.4.2.22)	0.03467171773159213
SSO:000003500__Hydrogen peroxide-inducible genes activator	0.02886867077243602
SSO:000007803__Sulfate adenylyltransferase (EC 2.7.7.4)	0.02669864288778545
SSO:000012222__Chromosome partitioning protein ParA	0.022727557804552698
SSO:000020611__Non-ribosomal peptide synthetase	0.021623321229461968
SSO:000001301__CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	0.021194039432171224
SSO:000005515__Ornithine cyclodeaminase (EC 4.3.1.12)	0.020565303259178557
SSO:000012979__DUF2017 domain-containing protein	0.020102248836425623
SSO:000006555__Pseudaminic acid synthase (EC 4.1.3.-)	0.02001164911217706
SSO:000008896__V-type ATP synthase subunit D (EC 3.6.3.14)	0.019441223267412374
SSO:000011964__Carboxypeptidase	0.01798251326387112
SSO:000012053__Cell surface protein	0.01763484563960714
SSO:000017381__Glycosyl hydrolase	0.016833368476588208
SSO:000004832__Methionine ABC transporter substrate-binding protein	0.016769274342418837
SSO:000003124__Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	0.016639041438408653
SSO:000023851__RNA-binding protein	0.016143449589655662
