feature	importance
SSO:000029073__Xylose isomerase	1.4464173482961855
SSO:000029337__alpha-xylosidase (EC 3.2.1.177)	0.46404668008984074
SSO:000026177__Trehalose-6-phosphate synthase	0.4273594113712628
SSO:000010727__Antitoxin	0.3552099945056375
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.2638924937200976
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.2204068566240417
SSO:000012150__Chemotaxis protein CheX	0.2084423071590562
SSO:000001635__Cobalt-precorrin-6A reductase (EC 1.3.1.54)	0.20513445020081522
SSO:000021874__Polyphosphate kinase 2 (EC 2.7.4.1)	0.18572670749626025
SSO:000024618__Shikimate kinase	0.16433875081816512
SSO:000005475__O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	0.16182327634131174
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.15700781249935306
SSO:000004709__Mannonate dehydratase (EC 4.2.1.8)	0.15612417336699563
SSO:000013400__Endonuclease/exonuclease/phosphatase family protein	0.15123296416470958
SSO:000000027__12-phenylacetyl-CoA epoxidase subunit A (EC 1.14.13.149)	0.14876880563243816
SSO:000004710__Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13)	0.13923843597303392
SSO:000007801__Sulfatase (EC 3.1.6.-)	0.13840607563125756
SSO:000000417__5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)	0.1378208613704461
SSO:000037530__Undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.227)	0.13737975767946978
SSO:000009310__sortase	0.13373772985483942
