feature	importance
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.40160371993008703
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.3839723944741685
SSO:000009584__2OG-Fe(II) oxygenase	0.2788670030444492
SSO:000010141__AbrB family transcriptional regulator	0.27452749820999744
SSO:000009756__Membrane protein	0.2687562229828318
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.26667843492160304
SSO:000005809__Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	0.26652511436109305
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.23485755822365026
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.19514066199102723
SSO:000010149__Acetamidase/formamidase family protein	0.1898143174105281
SSO:000043066__hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)	0.1796926189087046
SSO:000007177__Rod shape-determining protein MreB	0.17881443166831268
SSO:000007179__Rod shape-determining protein MreD	0.1695118055349852
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.15630208430537432
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.13801014815789595
SSO:000025086__Squalene---hopene cyclase (EC 5.4.99.17)	0.1314022402078655
SSO:000039286__Sugar O-acetyltransferase	0.12580080154458825
SSO:000000824__Adenylosuccinate synthetase (EC 6.3.4.4)	0.1239742141871131
SSO:000004709__Mannonate dehydratase (EC 4.2.1.8)	0.12157193921304969
SSO:000025475__Tail-specific protease (EC 3.4.21.-)	0.11548198807836987
