feature	importance
SSO:000027090__beta-glucosidase (EC 3.2.1.21)	0.009756254630000084
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.009098915791581693
SSO:000025241__Sugar kinase	0.007975916896140828
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.007357100768752473
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.007246095451409926
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.007008050598620956
SSO:000010479__Alpha-N-arabinofuranosidase( EC:3.2.1.55 )	0.005624292360683922
SSO:000029073__Xylose isomerase	0.005516456284826084
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.005356023563594795
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.004815386418041565
SSO:000022980__PspC domain-containing protein	0.004757435431613888
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.004366896984277665
SSO:000010516__Endo-14-beta-xylanase (EC 3.2.1.8)	0.0041316542435085426
SSO:000000913__Alpha-L-fucosidase (EC 3.2.1.51)	0.0035155034126692496
SSO:000024103__Rhamnogalacturonan acetylesterase	0.003291456800196972
SSO:000036741__Malate dehydrogenase (quinone) (EC 1.1.5.4)	0.0032273197786015506
SSO:000042143__Lipopolysaccharide heptosyltransferase I	0.003151425476466729
SSO:000005114__N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	0.0031492044424984043
SSO:000018768__L-lactate permease	0.0030944829461861624
SSO:000017367__Glycosidase	0.0030854171677227545
