feature	importance
SSO:000018718__LD-transpeptidase	0.42717946014715286
SSO:000034571__Aldose 1-epimerase family protein	0.3785070224438052
SSO:000007068__Ribokinase (EC 2.7.1.15)	0.3148915031323437
SSO:000019343__Mannose-6-phosphate isomerase class I (EC 5.3.1.8)	0.31338971990207487
SSO:000002270__Diacylglycerol kinase (EC 2.7.1.107)	0.2648932567990381
SSO:000024110__Rhamnulokinase (EC 2.7.1.5)	0.24483930628307
SSO:000000075__23-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)	0.22169164811005315
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.21919155504899648
SSO:000021897__Polysaccharide deacetylase	0.17633171294830052
SSO:000039286__Sugar O-acetyltransferase	0.16034529578287512
SSO:000007588__Site-specific tyrosine recombinase XerD	0.14094465625784372
SSO:000021634__Phosphodiesterase	0.13476433929883805
SSO:000005188__NAD-dependent malic enzyme (EC 1.1.1.38)	0.12083424235740771
SSO:000026421__Tyrosine recombinase XerC	0.11957904905148664
SSO:000000451__6-phospho-beta-glucosidase (EC 3.2.1.86)	0.11796124198816428
SSO:000002992__GTP-binding protein	0.11485802906002056
SSO:000007384__Selenocysteine-specific translation elongation factor	0.11456858297443942
SSO:000023750__Pyridoxamine 5'-phosphate oxidase family protein	0.11101622572958814
SSO:000000864__Aldehyde dehydrogenase (EC 1.2.1.3)	0.10872479404371911
SSO:000000847__Alanine dehydrogenase (EC 1.4.1.1)	0.10718542488061522
