feature	importance
SSO:000043056__arylformamidase (EC 3.5.1.9)	0.10926652476741308
SSO:000007068__Ribokinase (EC 2.7.1.15)	0.08755272519303654
SSO:000029945__flavodoxin family protein	0.06444575345914778
SSO:000000272__3-carboxy-ciscis-muconate cycloisomerase (EC 5.5.1.2)	0.05202464228354462
SSO:000003097__Glucokinase (EC 2.7.1.2)	0.04065834009450151
SSO:000021761__Phytase	0.03839072738650805
SSO:000008131__Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	0.030223681687617222
SSO:000036741__Malate dehydrogenase (quinone) (EC 1.1.5.4)	0.029092058357364142
SSO:000037083__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit B	0.027532449138660764
SSO:000038753__Protein-methionine-sulfoxide reductase catalytic subunit MsrP	0.025531885140457827
SSO:000013622__FAD-dependent monooxygenase	0.025414360179915517
SSO:000012503__Cu(I)-responsive transcriptional regulator	0.021293757794011943
SSO:000001479__Cell division topological specificity factor MinE	0.01912217357180878
SSO:000009637__3-oxoadipate enol-lactonase	0.0162377673802008
SSO:000031065__methionine synthase	0.015173881871167968
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.014822486464842338
SSO:000043198__threonine-phosphate decarboxylase (EC 4.1.1.81)	0.01455035927196388
SSO:000008042__Thioredoxin (EC 1.8.1.8)	0.012116176143170893
SSO:000009528__2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	0.01191114897027476
SSO:000010823__Arsenate reductase family protein	0.01171588424100557
