feature	importance
SSO:000007937__Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)	0.014633609701367893
SSO:000036573__LPS-assembly protein LptD	0.01458385153790173
SSO:000008604__UDP-3-O-3-hydroxymyristoyl glucosamine N-acyltransferase (EC 2.3.1.-)	0.013232399168802079
SSO:000006816__Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)	0.012327954130347157
SSO:000004460__Lipid-A-disaccharide synthase (EC 2.4.1.182)	0.011347989885386099
SSO:000008104__TonB-dependent receptor	0.010842533316228059
SSO:000043994__3-deoxy-8-phosphooctulonate synthase (EC 2.5.1.55)	0.01053073983835863
SSO:000000281__3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	0.009890819949860885
SSO:000020865__Outer membrane beta-barrel protein	0.009063766089221126
SSO:000008598__UDP-23-diacylglucosamine diphosphatase (EC 3.6.1.54)	0.00723727383951851
SSO:000004958__MotA/TolQ/ExbB proton channel family protein	0.007078046998995059
SSO:000035439__DUF402 domain-containing protein	0.006882835027475438
SSO:000000280__3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.13) (EC 2.4.99.12)	0.0064925846477843245
SSO:000019343__Mannose-6-phosphate isomerase class I (EC 5.3.1.8)	0.006326758968222951
SSO:000023973__TonB family protein	0.0062976924297360815
SSO:000004949__Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	0.006197319117931633
SSO:000013395__Endonuclease NucS	0.006087605866210845
SSO:000023921__Redox-sensing transcriptional repressor Rex	0.006064350759241957
SSO:000002241__Demethylmenaquinone methyltransferase (EC 2.1.1.163)	0.005703261010304857
SSO:000002230__DegV family protein	0.005555864434911057
