feature	importance
SSO:000007588__Site-specific tyrosine recombinase XerD	0.15477368097557828
SSO:000000975__Ammonium transporter	0.11564184661902825
SSO:000006523__Protein translocase subunit SecD	0.04675527927935726
SSO:000002288__Dihydrofolate reductase (EC 1.5.1.3)	0.04608232292592883
SSO:000009468__14-dihydroxy-2-naphthoate octaprenyltransferase	0.0435575191464767
SSO:000032555__putative glycoside hydrolase	0.03302926072811097
SSO:000001635__Cobalt-precorrin-6A reductase (EC 1.3.1.54)	0.03087389637491157
SSO:000023719__Response regulator	0.027793801803819136
SSO:000001469__Cell division protein FtsQ	0.027443102347622945
SSO:000037085__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit D	0.025342687309642835
SSO:000012182__Chloride channel protein	0.024211511760335664
SSO:000025220__Sucrose phosphorylase (EC 2.4.1.7)	0.02209329812289199
SSO:000043675__4-phosphoerythronate dehydrogenase (EC 1.1.1.290)	0.01929601021155083
SSO:000025054__Sporulation integral membrane protein YtvI	0.017510220274576906
SSO:000020584__Nitroreductase family protein	0.017106757558927804
SSO:000011121__Beta-xylosidase	0.016516879120531073
SSO:000005432__Nucleotidyltransferase (EC 2.7.7.-)	0.016248487933093036
SSO:000012969__DUF1541 domain-containing protein	0.015326217182847594
SSO:000003224__Glutathione peroxidase (EC 1.11.1.9)	0.01497751247859384
SSO:000021071__PEP phosphonomutase	0.012674322074728924
