feature	importance
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.1869111188908814
SSO:000042475__5-methyltetrahydropteroyltriglutamate---homocysteine S-methyltransferase (EC 2.1.1.14)	0.06912266892837272
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.05584350785893729
SSO:000001880__Cytochrome O ubiquinol oxidase subunit IV (EC 1.10.3.-)	0.04272969180650241
SSO:000005114__N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	0.029990221182015737
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.02703126988775443
SSO:000003486__Homoserine kinase (EC 2.7.1.39)	0.024257306454355178
SSO:000012160__Chemotaxis response regulator protein-glutamate methylesterase (EC 3.1.1.61)	0.02418674087910433
SSO:000002008__D-aminopeptidase (EC 3.4.11.19)	0.020879723789896262
SSO:000005853__Peroxidase (EC 1.11.1.7)	0.019436557515099064
SSO:000003108__Gluconokinase (EC 2.7.1.12)	0.01801343462494238
SSO:000017864__Homogentisate 12-dioxygenase (EC 1.13.11.5)	0.01581615875150327
SSO:000019607__Methylated-DNA-(protein)-cysteine S-methyltransferase	0.015485012633519774
SSO:000002619__Exodeoxyribonuclease III (EC 3.1.11.2)	0.014152644957121825
SSO:000036105__Glutamate-5-semialdehyde dehydrogenase (EC 1.2.1.41)	0.0136541988940187
SSO:000010272__Acyl-CoA thioesterase	0.012591046107550748
SSO:000009200__peptidase (EC 3.4.24.64 )	0.01094087948307129
SSO:000005313__Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	0.010735890769554314
SSO:000017607__HTH-type transcriptional regulator malT	0.010672468631060502
SSO:000038540__Phosphoketolase	0.010217090909559851
