feature	importance
SSO:000008399__Tryptophanase (EC 4.1.99.1)	0.029360097805257186
SSO:000003485__Homoserine dehydrogenase (EC 1.1.1.3)	0.004514710738643622
SSO:000001569__Chromosome partition protein MukF	0.004007960962265882
SSO:000035996__Fumarate reductase (quinol) flavoprotein subunit (EC 1.3.5.4)	0.0038567804121371297
SSO:000001095__Aspartate carbamoyltransferase (EC 2.1.3.2)	0.0037368482288153435
SSO:000021359__Peptidase T (EC 3.4.11.-)	0.0033553334375958197
SSO:000043061__asparagine---tRNA ligase (EC 6.1.1.22)	0.0032752909692911314
SSO:000001568__Chromosome partition protein MukE	0.0032467703789376802
SSO:000005953__Phosphoenolpyruvate carboxykinase ATP (EC 4.1.1.49)	0.003190660743851451
SSO:000036827__Methionine ABC transporter ATP-binding protein MetN	0.0030711268704966765
SSO:000044352__formate C-acetyltransferase (EC 2.3.1.54)	0.002704129943337586
SSO:000044330__glutamate formimidoyltransferase (EC 2.1.2.5)	0.002688295951428794
SSO:000001567__Chromosome partition protein MukB	0.002644709214933283
SSO:000001476__Cell division protein ZapC	0.0024978255516012564
SSO:000006033__Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	0.00244769406993062
SSO:000020286__NAD(P)H nitroreductase	0.0024088017405649144
SSO:000005355__Nitrogen regulatory protein P-II	0.0023573528511655496
SSO:000000167__2-iminoacetate synthase (ThiH) (EC 4.1.99.19)	0.002282767604834728
SSO:000000564__ATP-dependent Clp protease ATP-binding subunit ClpX	0.002230490087367186
SSO:000038896__RNA chaperone ProQ	0.0021969607939592954
